city,lat,lon
Cerdanyola del vallés,41.4910324,2.1374969
"Boadilla del monte, madrid",40.4053485,-3.8764663
Ferrol,43.4846862,-8.233162
Andoain,43.2183411,-2.0199432
Aa,51.5331324,5.6437768
San juan de los terreros,37.3608107,-1.6636704
Cabredo,42.629694,-2.4115903
Piedras blancas,-31.1908228,-59.901149318545706
El entrego-san martin rey aurelio,43.2896553,-5.6409423
Manises,39.492989,-0.4621429
Azpeitia,43.1838618,-2.2657422
Carlet,39.226789350000004,-0.5226353407711284
El masnou,41.4796899,2.3118347
El vellón,40.7677965,-3.5820099
Nerja,36.7468565,-3.8790164
Ripoll,42.1982391,2.1932496
A rua de valdeorras,42.3951056,-7.1141645
Cembranos- leon,42.4856489,-5.5836874
Valdemorillo,40.5016772,-4.0688878
Alcora ,40.0744223,-0.2138589
Chiclana de  frontera ,36.294487399999994,-6.092790754888084
Pallejà ,41.4223425,1.9969904
Alcorcón,40.3492998,-3.8284295
Porto,41.1494512,-8.6107884
Alcanar,40.5438634,0.4808409
Ezkio itsaso,43.083102499999995,-2.2706536547159506
Ribera de cabanes,40.1532603,0.1579598
Portocolom ,39.4260949,3.2647278
Pola de siero,43.3914146,-5.6608367
Onil,38.6295723,-0.6738417
Xeresa,39.0101346,-0.2168106
Polinya,41.5581661,2.1584568
Mera-oleiros,43.3795013,-8.3375057
Rivas-vaciamadrid ,40.3536054,-3.5310879
Urduliz,43.3730856,-2.9483534
Sanlucar de barrameda,36.7761393,-6.3534794
Petrer,38.485008,-0.7703987
Velilla de ebro,41.3733534,-0.4374667
Morales del vino ,41.4463897,-5.7319384
Cardona,41.9142758,1.68133
Aviles ,43.5554436,-5.9222466
La granja d’escarp,41.4191988,0.3520585
Nules platja,39.826723,-0.1104814
Guiyang,25.7561647,112.72964
Orón - miranda de ebro,42.6701922,-2.9814
Segovia,40.9502159,-4.1241494
San javier,28.61575515,-109.75170045897028
L'eliana,39.5659086,-0.5302784
Binaced ,41.8143005,0.20979663989328098
Armilla,37.1431197,-3.6277259
Getxo,43.3479409,-3.0087671
10005,24.5647667,120.8205167
